 Nom,Nom_bis,Département/Massif,X,Y,EPSG,Alt. ,Denivele,Developpement,Equipement,Temps,debutant,crue,balade,Traversée,Commentaire,url
TONNERRE (scialet du),V 18 (scialet),Vercors,857828.005,2015331.54,27572,1710,-560,1745,,18h,,,,,,
IRA ou YRAH (trou d'),P 4,Vercors,857834.378,2017252.1,27572,1535,-170,,,,,,,,,
COMBE OURSIERE (scialet de la),V 2,Vercors,858057.92,2015412,27572,1750,-327,3000,,,,,,,,
SIERRE (scialet de la),,Vercors,858183.755,2017632.87,27572,1600,-214,930,,,,,,,,
Chique (scialet),,Vercors,858191.18213,2018993.2466,27572,1460,-110,,oui,3,,,non,,,
Choupette (scialet),,Chartreuse,859098.34224,2040998.97809999,27572,900,250,1300,oui,,,,non,,,
Vallier (grotte),,Vercors,860146.216999999,2021867.6924,27572,1470,405,9287,oui,12,non,,non,,,
SASSENAGE (cuves de),,Vercors,860373.391,2028609.61,27572,299,438,9200,oui,,,oui,oui,,,
Saint-Aupres (Grotte de ),,Chartreuse,861170.38908,2049802.64299999,27572,530,,1070,non,2,oui,oui,oui,,,
Caladaïre (Gouffre du),,Alpes-de-haute-provence,861978.77,1898056.59,,891,667,1850,oui,20h,,,,,100 plus belles,https://www.grottocenter.org/html/file_Fr.php?lang=Fr&category=entry&id=10323
Champ-Guillobot (Lézine du),,Jura,862640.09,2208201.35,,575,82,280,oui,3h,,,,,100 plus belles,http://juraspeleo.ffspeleo.fr/grottes/topoguide/fiches/guillobot.htm
Patu de la fosse,,Jura,863249.96,2211181.01,,560,47,215,oui,3h,,,,,100 plus belles,http://juraspeleo.ffspeleo.fr/grottes/topoguide/fiches/fosse.htm
Génieux (gouffre),,Chartreuse,866513.17039,2042683.9103,27572,1410,675,1850,oui,12,non,,non,,,
Kriska (Puits),,Chartreuse,869128.21527,2042035.4611,27572,1520,780,1000,oui,6,,,non,,100 plus belles,
Cambise (Grotte de la),,Chartreuse,869377.37981,2045022.7609,27572,920,66,500,non,4,,oui,oui,,,
Echelles (Grotte supérieure des),,Chartreuse,870240.4,2056048.83,,520,68,1377,non,3h,oui,non,oui,,100 plus belles,
