#The data included in this document is from www.refuges.info. The data is made available under CC By-Sa 2.0
id_point;nom;type;altitude;latitude;longitude;état;nombre de place;lien
6429;Refuge alpage supérieur de Louvie;cabane non gardée;2420;46.0589382044302;7.31071472167969;;3;http://www.refuges.info/point/6429/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Refuge-alpage-superieur-de-Louvie/
6467;Bivacco Abele Traglio (Bivacco Capezzone);cabane non gardée;2100;45.9383328645805;8.20997357368469;;7;http://www.refuges.info/point/6467/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Bivacco-Abele-Traglio-Bivacco-Capezzone/
2768;Chalet de la Gorge du Nant (Champet);cabane non gardée;1540;45.4652;6.215;Fermée;0;http://www.refuges.info/point/2768/cabane-non-gardee/Belledonne/Chalet-de-la-Gorge-du-Nant-Champet/
6685;Abri du Coirnavan;cabane non gardée;2180;45.16732;6.26439;;2;http://www.refuges.info/point/6685/cabane-non-gardee/Grandes-Rousses---Arves/Abri-du-Coirnavan/
6469;Bivacco Alpe Campo (Valsesia);cabane non gardée;1910;45.7897688392441;7.95008897781372;;10;http://www.refuges.info/point/6469/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Bivacco-Alpe-Campo-Valsesia/
6126;Futur-Refuge-bivouac du Morion (Pasqualetti);cabane non gardée;3280;45.88872;7.37193;;8;http://www.refuges.info/point/6126/cabane-non-gardee/Alpes-Pennines-Haut-Valais/futur-Refuge-bivouac-du-Morion-Pasqualetti/
4419;Bivacco Città di Mariano Comense;cabane non gardée;2840;45.89952;7.71645;;9;http://www.refuges.info/point/4419/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Bivacco-Citta-di-Mariano-Comense/
4029;Dortoir Alpe Baravez Damon (Baravex);cabane non gardée;1917;45.825;7.27412;Clé à récupérer avant;12;http://www.refuges.info/point/4029/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Dortoir-Alpe-Baravez-Damon-Baravex/
368;Chalet de la grande Montagne de Verneil;cabane non gardée;1465;45.44449;6.19203;;8;http://www.refuges.info/point/368/cabane-non-gardee/Belledonne/Chalet-de-la-grande-Montagne-de-Verneil/
61;Deuxième chalet de la Petite Valloire (chalet de la Fouetterie);cabane non gardée;1779;45.301;6.104;;10;http://www.refuges.info/point/61/cabane-non-gardee/Belledonne/Deuxieme-chalet-de-la-Petite-Valloire-chalet-de-la-Fouetterie/
649;Abri Rajon;cabane non gardée;2645;45.14293;6.11839;;0;http://www.refuges.info/point/649/cabane-non-gardee/Grandes-Rousses---Arves/Abri-Rajon/
6144;Abri-bivouac don Luigi Ravelli;cabane non gardée;2504;45.83728;7.88071;;12;http://www.refuges.info/point/6144/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Abri-bivouac-don-Luigi-Ravelli/
4017;Ancien Hôtel et alpage de Bricola;cabane non gardée;2415;46.04715;7.56572;Fermée;0;http://www.refuges.info/point/4017/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Ancien-Hotel-et-alpage-de-Bricola/
4500;Refuge de San Gavino;cabane non gardée;1380;41.9672;9.2286;;6;http://www.refuges.info/point/4500/cabane-non-gardee/Corse/Refuge-de-San-Gavino/
4912;Chalet de montfroid;cabane non gardée;2215;45.21331;6.15666;;0;http://www.refuges.info/point/4912/cabane-non-gardee/Grandes-Rousses---Arves/chalet-de-montfroid/
2599;Refuge-bivouac (Capanna) Damiano Marinelli;cabane non gardée;3036;45.94433;7.88956;;10;http://www.refuges.info/point/2599/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Refuge-bivouac-Capanna-Damiano-Marinelli/
3059;Refuge- bivouac giovanni Bobba;cabane non gardée;2770;45.93386;7.59893;;12;http://www.refuges.info/point/3059/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Refuge--bivouac-giovanni-Bobba/
3950;Refuge-bivouac Penne Nere (Becca di Viou);cabane non gardée;2730;45.79662;7.36738;;14;http://www.refuges.info/point/3950/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Refuge-bivouac-Penne-Nere-Becca-di-Viou/
4501;Bergerie de Bianca;cabane non gardée;1400;41.93635;9.23059;;4;http://www.refuges.info/point/4501/cabane-non-gardee/Corse/Bergerie-de-Bianca/
2069;Refuge-bivouac de l'Aiguillette (Singla);cabane non gardée;3175;45.9414;7.4541;;14;http://www.refuges.info/point/2069/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Refuge-bivouac-de-l-Aiguillette-Singla/
5937;Cabane Bienvenu;cabane non gardée;2095;46.0364015175554;7.2454833984375;;2;http://www.refuges.info/point/5937/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Cabane-Bienvenu/
2785;Bergerie de Rumex;cabane non gardée;1595;45.28249;6.08877;Détruite;0;http://www.refuges.info/point/2785/cabane-non-gardee/Belledonne/Bergerie-de-Rumex/
5837;Chalet ONF de Val Froide;cabane non gardée;1560;45.153139663744;6.28393024206162;;6;http://www.refuges.info/point/5837/cabane-non-gardee/Grandes-Rousses---Arves/Chalet-ONF-de-Val-Froide/
2367;Refuge-bivouac  Molline;cabane non gardée;2415;45.87433;7.23411;;16;http://www.refuges.info/point/2367/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Refuge-bivouac-Molline/
2362;Refuge bivouac Rossi Volante (ou Cesare e Giorgio);cabane non gardée;3750;45.92966;7.77068;;6;http://www.refuges.info/point/2362/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Refuge-bivouac-Rossi-Volante-ou-Cesare-e-Giorgio/
5954;Cabane alpage de Mase;cabane non gardée;2400;45.8930996912337;7.7033257484436;;2;http://www.refuges.info/point/5954/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Cabane-alpage-de-Mase/
2503;Refuge-bivouac lac de Balanselme (Manenti);cabane non gardée;2790;45.90014;7.56892;;2;http://www.refuges.info/point/2503/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Refuge-bivouac-lac-de-Balanselme-Manenti/
2784;Chalet de l'Arpette;cabane non gardée;1850;45.28175;6.09681;Fermée;0;http://www.refuges.info/point/2784/cabane-non-gardee/Belledonne/Chalet-de-l-Arpette/
3698;Cabane à sel;cabane non gardée;2490;45.09438;6.35079;;0;http://www.refuges.info/point/3698/cabane-non-gardee/Grandes-Rousses---Arves/Cabane-a-sel/
4028;Bivacco forestale Mte Pancherot;cabane non gardée;2560;45.88369;7.60172;Fermée;0;http://www.refuges.info/point/4028/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Bivacco-forestale-Mte-Pancherot/
1937;Refuge-bivouac Rosazza (ex-Savoie);cabane non gardée;2651;45.8942;7.28327;;16;http://www.refuges.info/point/1937/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Refuge-bivouac-Rosazza-ex-Savoie/
1692;Ex-Refuge Carraud;cabane non gardée;2485;45.0932;6.35162;Fermée;0;http://www.refuges.info/point/1692/cabane-non-gardee/Grandes-Rousses---Arves/Ex-Refuge-Carraud/
2337;Refuge-bivouac Ulrich Lateltin;cabane non gardée;3120;45.8229;7.79101;;16;http://www.refuges.info/point/2337/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Refuge-bivouac-Ulrich-Lateltin/
428;Refuge de Pré-Large;cabane non gardée;1575;45.30699;5.70808;;0;http://www.refuges.info/point/428/cabane-non-gardee/Chartreuse/Refuge-de-Pre-Large/
2934;Chalet du Plan (de Champ Laitier);cabane non gardée;1410;45.98441;6.3159;;0;http://www.refuges.info/point/2934/cabane-non-gardee/Bornes-Aravis/Chalet-du-Plan-de-Champ-Laitier/
2212;Refuge Barthélémy Baudino;cabane non gardée;798;43.5302;5.619;;6;http://www.refuges.info/point/2212/cabane-non-gardee/Ste-Victoire-Artuby-Verdon/Refuge-Barthelemy-Baudino/
1962;Cabane pastorale de Sornin;cabane non gardée;1539;45.2183;5.6137;Fermée;0;http://www.refuges.info/point/1962/cabane-non-gardee/Vercors/Cabane-pastorale-de-Sornin/
2221;Chalet des Ramiettes;cabane non gardée;1494;45.29067;6.03071;Détruite;0;http://www.refuges.info/point/2221/cabane-non-gardee/Belledonne/Chalet-des-Ramiettes/
4892;Refuge du Chamois;cabane non gardée;1130;45.2462;6.3816;;4;http://www.refuges.info/point/4892/cabane-non-gardee/Grandes-Rousses---Arves/Refuge-du-Chamois/
2265;Lonza Biwak (Zmuttgrat);cabane non gardée;2970;45.98569;7.6362;Détruite;0;http://www.refuges.info/point/2265/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Lonza-Biwak-Zmuttgrat/
3367;Bivouac de Bella Tola;cabane non gardée;2900;46.23992;7.64847;;0;http://www.refuges.info/point/3367/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Bivouac-de-Bella-Tola/
3389;Refuge Paul Ruat;cabane non gardée;650;43.30774;5.68166;;0;http://www.refuges.info/point/3389/cabane-non-gardee/Ste-Victoire-Artuby-Verdon/Refuge-Paul-Ruat/
4891;Cabane de Combe Noire;cabane non gardée;1570;45.2354;6.386;;0;http://www.refuges.info/point/4891/cabane-non-gardee/Grandes-Rousses---Arves/Cabane-de-Combe-Noire/
2372;Fletschhornhütte / Studentenhütte / Cabane des Pères;cabane non gardée;3040;46.192;7.97714;;6;http://www.refuges.info/point/2372/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Fletschhornhtte-Studentenhtte-Cabane-des-Peres/
2309;Refuge des Bouquetins;cabane non gardée;2980;45.97086;7.53056;;20;http://www.refuges.info/point/2309/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Refuge-des-Bouquetins/
63;Refuge de la Perrière;cabane non gardée;1832;45.40756;6.18538;;18;http://www.refuges.info/point/63/cabane-non-gardee/Belledonne/Refuge-de-la-Perriere/
471;Cabane du Pré des Bruns;cabane non gardée;1960;45.13659;6.28286;;0;http://www.refuges.info/point/471/cabane-non-gardee/Grandes-Rousses---Arves/Cabane-du-Pre-des-Bruns/
1567;Bivouac La Lliée;cabane non gardée;2422;45.81775;7.40082;;18;http://www.refuges.info/point/1567/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Bivouac-La-Lliee/
2598;Refuge-bivouac Schwarzberg-Weisstor (Città di Luino);cabane non gardée;3562;45.99687;7.90989;;10;http://www.refuges.info/point/2598/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Refuge-bivouac-Schwarzberg-Weisstor-Citta-di-Luino/
4890;Abri du télésiège des Chaudannes;cabane non gardée;2483;45.20568;6.38687;;2;http://www.refuges.info/point/4890/cabane-non-gardee/Grandes-Rousses---Arves/Abri-du-telesiege-des-Chaudannes/
3725;Refuge-bivouac Rivolta;cabane non gardée;2908;45.87759;7.5595;;12;http://www.refuges.info/point/3725/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Refuge-bivouac-Rivolta/
2345;Cabane Solvay (Solvayhütte);cabane non gardée;4003;45.97866;7.66299;;10;http://www.refuges.info/point/2345/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Cabane-Solvay-Solvayhtte/
2641;Bergerie de Machiret;cabane non gardée;1287;45.07774;5.59473;Fermée;0;http://www.refuges.info/point/2641/cabane-non-gardee/Vercors/Bergerie-de-Machiret/
62;Deuxième chalet de Tigneux (cabane pastorale);cabane non gardée;1950;45.308;6.1105;Fermée;0;http://www.refuges.info/point/62/cabane-non-gardee/Belledonne/Deuxieme-chalet-de-Tigneux-cabane-pastorale/
4893;Cabane de l'Arc (ou du ruisseau de Pré des Bruns);cabane non gardée;2300;45.129;6.27916;;2;http://www.refuges.info/point/4893/cabane-non-gardee/Grandes-Rousses---Arves/Cabane-de-l-Arc-ou-du-ruisseau-de-Pre-des-Bruns/
2496;Refuge-bivouac du Lac de Tzan;cabane non gardée;2482;45.86131;7.54921;;9;http://www.refuges.info/point/2496/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Refuge-bivouac-du-Lac-de-Tzan/
2465;Refuge-bivouac Schalijoch (Schalijoch Biwak);cabane non gardée;3780;46.09331;7.70953;;8;http://www.refuges.info/point/2465/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Refuge-bivouac-Schalijoch-Schalijoch-Biwak/
5327;Cabane de chasseurs, Crête de Lacha;cabane non gardée;1990;45.23391;6.37365;;0;http://www.refuges.info/point/5327/cabane-non-gardee/Grandes-Rousses---Arves/Cabane-de-chasseurs-Crete-de-Lacha/
2468;Refuge-bivouac du Col de la Dent Blanche;cabane non gardée;3540;46.0419;7.60705;;15;http://www.refuges.info/point/2468/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Refuge-bivouac-du-Col-de-la-Dent-Blanche/
